Date,Open,High,Low,Close,Volume
2010-01-04,108.2578125,108.28125,108.0390625,108.09375,222302
2010-01-05,108.4140625,108.4296875,108.265625,108.2734375,195501
2010-01-06,108.4453125,108.4609375,108.3046875,108.3984375,267390
2010-01-07,108.390625,108.421875,108.3203125,108.421875,201554
2010-01-08,108.5234375,108.5546875,108.2734375,108.375,201554
2010-01-11,108.578125,108.5859375,108.4296875,108.4296875,201554
2010-01-12,108.6328125,108.65625,108.5625,108.5625,201554
2010-01-13,108.5546875,108.6484375,108.53125,108.640625,199244
2010-01-14,108.640625,108.6640625,108.5390625,108.5546875,215351
2010-01-15,108.7578125,108.765625,108.625,108.6328125,212812
2010-01-19,108.703125,108.828125,108.6953125,108.7578125,200199
2010-01-20,108.7421875,108.7890625,108.703125,108.7265625,208559
2010-01-21,108.828125,108.8671875,108.6953125,108.75,283162
2010-01-22,108.8984375,108.9453125,108.828125,108.859375,306140
2010-01-25,108.8984375,108.9140625,108.8515625,108.8984375,189349
2010-01-26,108.8828125,108.96875,108.859375,108.890625,209003
2010-01-27,108.8203125,108.984375,108.7734375,108.890625,262133
2010-01-28,108.8828125,108.90625,108.7265625,108.8046875,271495
2010-01-29,108.9765625,109.0234375,108.75,108.8984375,318681
2010-02-01,108.9296875,109.0078125,108.8828125,109.0078125,216293
2010-02-02,108.9453125,108.96875,108.890625,108.9296875,160656
2010-02-03,108.890625,108.9375,108.8671875,108.9375,176858
2010-02-04,109.0234375,109.0703125,108.875,108.890625,302320
2010-02-05,109.1484375,109.2109375,108.9921875,109.03125,445677
2010-02-08,109.09375,109.140625,109.0546875,109.125,171011
2010-02-09,109.0234375,109.140625,108.984375,109.125,321713
2010-02-10,108.9140625,109.0625,108.890625,109.0078125,326087
2010-02-11,108.9296875,108.953125,108.875,108.9140625,228176
2010-02-12,109.0234375,109.0546875,108.921875,108.9375,192496
2010-02-16,109.0859375,109.1015625,108.984375,109.0234375,202143
2010-02-17,108.9765625,109.078125,108.9375,109.078125,244054
2010-02-18,108.9453125,109.0390625,108.828125,108.9765625,357121
2010-02-19,108.84375,108.90625,108.75,108.8125,482307
2010-02-22,108.9296875,108.9453125,108.828125,108.84375,338425
2010-02-23,109.0390625,109.0625,108.9140625,108.9296875,671182
2010-02-24,109.0703125,109.1171875,109.0078125,109.046875,779261
