Date,Open,High,Low,Close,Volume
2010-03-24,115.84375,117.6875,115.59375,117.625,421794
2010-03-25,115.03125,116.0,114.8125,115.75,395096
2010-03-26,115.4375,115.65625,115.0,115.28125,212703
2010-03-29,115.5,115.53125,115.03125,115.3125,174818
2010-03-30,115.65625,115.75,115.0,115.4375,215124
2010-03-31,116.125,116.25,115.5625,115.71875,317553
2010-04-01,115.90625,116.21875,115.3125,116.0625,249670
2010-04-05,114.375,115.125,114.1875,114.90625,220886
2010-04-06,114.40625,114.96875,114.34375,114.40625,249703
2010-04-07,115.6875,115.84375,114.34375,114.5625,347548
2010-04-08,115.40625,115.9375,115.3125,115.65625,280889
2010-04-09,115.65625,115.84375,115.09375,115.46875,234870
2010-04-12,116.25,116.4375,115.25,115.53125,237637
2010-04-13,116.625,116.6875,116.0625,116.21875,272428
2010-04-14,115.9375,116.6875,115.78125,116.4375,281557
2010-04-15,116.03125,116.375,115.46875,115.84375,279252
2010-04-16,116.875,117.0,116.125,116.15625,364242
2010-04-19,116.5,117.1875,116.46875,116.96875,199701
2010-04-20,116.75,116.8125,116.3125,116.5625,217416
2010-04-21,117.59375,117.625,116.625,116.75,293201
2010-04-22,117.28125,117.90625,117.15625,117.625,308686
2010-04-23,116.875,117.46875,116.6875,117.28125,284373
2010-04-26,116.875,117.46875,116.6875,116.96875,213040
2010-04-27,118.4375,118.75,116.90625,116.96875,420029
2010-04-28,117.53125,118.5,117.4375,118.28125,369729
2010-04-29,118.21875,118.25,117.46875,117.625,265175
2010-04-30,119.0625,119.125,117.96875,118.1875,349988
2010-05-03,118.71875,118.96875,118.46875,118.9375,201611
2010-05-04,120.0,120.34375,118.8125,118.9375,388552
2010-05-05,120.53125,121.4375,120.0,120.1875,497258
2010-05-06,123.34375,124.5,120.09375,120.5625,682398
2010-05-07,122.0,124.125,121.375,122.875,613890
2010-05-10,120.84375,121.53125,120.15625,121.4375,308791
2010-05-11,120.78125,121.75,120.28125,120.8125,317297
2010-05-12,120.3125,121.21875,120.09375,120.84375,303060
2010-05-13,120.53125,121.125,119.8125,120.25,425440
2010-05-14,122.03125,122.5625,120.75,120.90625,412976
2010-05-17,121.4375,122.8125,121.21875,121.78125,382473
2010-05-18,122.6875,123.0625,121.21875,121.34375,382981
2010-05-19,122.78125,123.53125,122.40625,123.0,435583
2010-05-20,124.03125,124.78125,122.5625,122.5625,584386
2010-05-21,124.875,126.03125,124.125,124.65625,553482
2010-05-24,124.375,125.40625,124.25,124.28125,421751
2010-05-25,125.25,126.46875,124.6875,124.78125,691927
2010-05-26,124.46875,125.28125,123.875,125.0,695809
2010-05-27,122.9375,124.8125,122.65625,124.78125,543239
2010-05-28,123.21875,123.46875,122.71875,122.75,104887
2010-06-01,123.34375,124.28125,122.90625,123.25,49679
2010-06-02,122.90625,124.0625,122.78125,123.71875,29441
2010-06-03,122.5,123.125,121.875,122.90625,25540
2010-06-04,124.90625,124.9375,122.5625,122.625,13586
2010-06-07,124.8125,125.46875,124.21875,125.0,11962
2010-06-08,125.09375,125.3125,124.6875,125.3125,11548
2010-06-09,124.875,124.96875,124.15625,124.84375,12615
2010-06-10,123.09375,125.03125,123.09375,125.0,9221
2010-06-11,124.6875,124.65625,123.25,123.28125,2587
2010-06-14,123.8125,124.15625,123.3125,124.15625,4241
2010-06-15,123.3125,124.40625,123.09375,123.90625,3493
2010-06-16,123.6875,124.28125,123.3125,123.3125,3524
2010-06-17,124.90625,125.03125,123.5625,124.1875,3302
2010-06-18,124.46875,125.1875,124.40625,124.84375,4137
2010-06-21,124.28125,124.28125,123.3125,124.25,266814
2010-06-22,124.75,124.84375,123.28125,123.65625,217014
2010-06-23,125.34375,125.75,124.375,124.65625,259902
2010-06-24,125.03125,125.96875,124.75,125.3125,274180
2010-06-25,125.34375,125.71875,124.59375,124.8125,239342
2010-06-28,126.28125,126.5,125.40625,125.53125,203679
2010-06-29,127.125,127.40625,126.21875,126.375,337433
2010-06-30,127.5,127.75,126.90625,127.375,300267
2010-07-01,128.0,128.59375,127.4375,127.6875,345665
2010-07-02,127.15625,128.28125,127.0625,127.65625,264993
2010-07-06,128.0,128.1875,127.0625,127.1875,234048
2010-07-07,127.3125,128.1875,127.125,128.0,230509
2010-07-08,126.78125,127.46875,126.34375,127.21875,245140
2010-07-09,126.28125,126.8125,126.15625,126.59375,170079
2010-07-12,126.34375,127.0,126.09375,126.21875,210946
2010-07-13,125.46875,126.6875,125.25,126.1875,238785
2010-07-14,126.59375,126.71875,125.21875,125.34375,358147
2010-07-15,127.65625,127.8125,126.15625,126.625,359704
2010-07-16,128.09375,128.46875,127.25,127.375,304382
2010-07-19,127.59375,128.40625,127.40625,128.3125,222204
2010-07-20,127.96875,128.40625,127.5,127.71875,265626
2010-07-21,128.84375,129.4375,127.5625,127.6875,341799
2010-07-22,128.09375,129.21875,128.0,128.96875,235296
2010-07-23,127.15625,128.21875,127.125,128.0625,270445
2010-07-26,127.21875,127.5,126.5,127.21875,190523
2010-07-27,126.34375,127.3125,126.21875,127.21875,242334
2010-07-28,126.84375,126.96875,126.03125,126.375,290002
2010-07-29,126.875,127.125,126.21875,126.875,311176
2010-07-30,128.71875,128.75,126.9375,126.96875,372291
2010-08-02,127.625,128.59375,127.5625,128.5625,199568
2010-08-03,128.40625,128.65625,127.625,127.625,241834
2010-08-04,127.90625,128.84375,127.75,128.375,222479
2010-08-05,128.375,128.84375,127.75,127.84375,254442
