Date,Open,High,Low,Close,Volume
2010-05-03,205.0,211.0,204.5,208.0,31
2010-05-04,203.25,206.0,201.25,206.0,77
2010-05-05,205.5,205.5,205.5,205.5,30
2010-05-06,202.0,204.75,203.0,203.75,18
2010-05-07,201.0,200.5,198.25,200.0,3
2010-05-10,195.25,199.75,199.75,199.75,1
2010-05-11,197.75,198.5,198.25,198.25,16
2010-05-12,198.0,199.5,196.75,196.75,14
2010-05-13,192.5,193.0,192.75,193.0,6
2010-05-14,190.0,191.0,191.0,191.0,567
2010-05-17,190.75,196.25,188.25,195.0,464
2010-05-18,193.0,194.75,190.0,192.0,228
2010-05-19,195.25,197.25,190.75,194.0,976
2010-05-20,194.0,197.75,191.25,197.75,669
2010-05-21,196.0,198.25,193.0,193.0,269
2010-05-24,199.0,201.75,196.75,199.0,603
2010-05-25,191.5,200.5,191.5,198.75,1575
2010-05-26,192.5,196.75,192.25,194.5,504
2010-05-27,196.5,197.5,191.5,192.5,579
2010-05-28,191.0,201.0,191.25,198.0,1766
2010-06-01,194.25,197.0,190.5,193.0,1732
2010-06-02,192.0,197.75,192.0,195.5,1434
2010-06-03,196.0,196.75,192.25,194.0,429
2010-06-04,194.0,198.75,193.0,196.25,887
2010-06-07,194.0,199.0,193.5,195.75,511
2010-06-08,196.25,197.75,195.0,195.75,1115
2010-06-09,204.0,206.75,196.25,197.75,1596
2010-06-10,214.5,216.25,205.0,205.0,2775
2010-06-11,227.0,232.5,215.0,215.0,1421
2010-06-14,247.0,247.0,231.75,232.0,1922
2010-06-15,274.0,277.0,254.0,254.25,2358
2010-06-16,270.0,275.5,261.5,271.25,1748
2010-06-17,261.25,272.0,258.75,267.0,1197
2010-06-18,263.0,268.5,252.25,261.0,792
2010-06-21,264.5,274.25,258.0,263.5,834
2010-06-22,278.0,278.0,261.0,263.5,739
2010-06-23,275.0,279.75,269.5,277.25,331
2010-06-24,274.5,279.0,271.25,273.25,368
2010-06-25,264.0,281.5,263.0,272.25,399
2010-06-28,261.5,264.0,249.5,264.0,404
2010-06-29,248.5,268.5,247.0,259.0,791
2010-06-30,255.0,268.0,248.0,248.5,246
2010-07-01,241.75,259.0,245.0,258.5,423
2010-07-02,243.0,244.75,238.5,244.75,86
2010-07-06,248.0,249.25,240.75,240.75,135
2010-07-07,253.75,253.0,248.5,251.25,20
2010-07-08,249.5,251.5,248.25,251.0,1013
2010-07-09,258.0,259.0,247.5,249.0,380
2010-07-12,247.0,254.75,242.25,254.75,26
2010-07-13,246.5,253.25,244.0,247.0,65
2010-07-14,254.25,254.25,254.25,254.25,423
2010-07-15,268.5,271.25,259.0,259.5,335
2010-07-16,267.5,274.25,261.5,268.5,304
2010-07-19,260.5,266.75,260.0,263.0,176
2010-07-20,256.0,260.75,255.0,260.75,192
2010-07-21,257.5,260.0,254.5,255.25,254
2010-07-22,255.0,262.0,254.75,257.75,266
2010-07-23,254.75,258.75,252.25,258.25,266
2010-07-26,251.0,256.0,246.0,254.0,363
2010-07-27,246.5,254.0,246.25,251.25,277
2010-07-28,257.0,259.5,246.25,247.25,399
2010-07-29,261.5,262.0,255.0,259.0,974
2010-07-30,271.0,270.5,260.5,260.5,973
2010-08-02,276.5,284.5,268.5,268.5,1037
2010-08-03,275.0,277.5,260.0,276.25,545
2010-08-04,280.25,282.5,271.5,273.5,176
2010-08-05,282.0,297.25,277.25,280.0,250
2010-08-06,279.5,284.0,270.0,282.0,152
2010-08-09,279.75,284.0,274.0,275.0,266
2010-08-10,271.5,277.0,266.0,277.0,153
2010-08-11,269.25,274.0,265.0,269.25,152
2010-08-12,272.0,276.5,268.25,270.0,266
2010-08-13,273.5,279.75,272.0,272.0,314
2010-08-16,272.5,282.5,264.75,271.0,129
2010-08-17,275.5,277.25,272.5,272.75,225
2010-08-18,276.75,279.5,273.5,277.5,264
2010-08-19,274.0,281.0,273.25,276.75,106
2010-08-20,272.0,273.5,267.75,272.75,98
2010-08-23,272.0,276.0,264.0,265.0,66
2010-08-24,261.5,272.0,261.0,272.0,185
2010-08-25,261.5,262.75,257.25,262.0,133
2010-08-26,266.5,268.5,261.5,262.0,88
2010-08-27,265.5,267.25,260.0,266.5,220
2010-08-30,264.5,269.25,264.75,264.75,281
2010-08-31,265.75,269.0,260.75,262.75,296
2010-09-01,267.75,276.0,269.0,273.75,33
2010-09-02,272.0,271.0,268.0,268.25,27
2010-09-03,283.0,281.5,278.0,278.25,19
2010-09-07,294.5,296.0,286.5,286.5,28
2010-09-08,295.5,301.75,295.0,301.75,10
2010-09-09,301.75,300.5,300.5,300.5,1
2010-09-10,317.0,313.0,313.0,313.0,3
2010-09-13,322.0,326.5,325.0,325.0,4
2010-09-14,328.0,328.0,328.0,328.0,1568
2010-09-15,340.0,348.75,329.5,343.5,986
2010-09-16,342.5,344.0,337.25,340.75,325
2010-09-17,356.0,362.25,336.25,341.0,1139
2010-09-20,359.0,368.5,354.5,358.75,909
2010-09-21,351.5,359.0,351.25,359.0,688
2010-09-22,344.0,355.75,341.25,351.0,751
